Time            ,Cm                ,Cd                ,Cl                
250.119396,-8.0487878457E-09,0.037297842152,-2.2320050031E-07
250.1197882,-7.783185881E-09,0.037295399382,-2.2246841481E-07
250.1201804,-8.1469569496E-09,0.037292964396,-2.2283273355E-07
250.1205726,-7.2258584609E-09,0.037290537153,-2.2093575056E-07
250.1209648,-7.7033895706E-09,0.037288117604,-2.2149124252E-07
250.121357,-6.9592046947E-09,0.037285705708,-2.1990813396E-07
250.1217492,-6.823078009E-09,0.037283301417,-2.1938562589E-07
250.1221414,-6.9748178039E-09,0.037280904691,-2.1938791383E-07
250.1225336,-6.3792094884E-09,0.037278515485,-2.1803807692E-07
250.1229258,-6.3651418464E-09,0.037276133753,-2.1775619598E-07
250.123318,-6.0575537493E-09,0.03727375947,-2.1693479555E-07
250.1237102,-5.9545943835E-09,0.037271392549,-2.1646080363E-07
250.1241024,-5.6194132962E-09,0.037269032998,-2.1559540574E-07
250.1244946,-5.5449378895E-09,0.037266680752,-2.1516853681E-07
250.1248868,-5.2820954596E-09,0.037264335771,-2.1444800121E-07
250.125279,-4.9479770191E-09,0.037261998018,-2.1356927102E-07
250.1256712,-4.9269631557E-09,0.037259667448,-2.1323945964E-07
250.1260634,-4.7916576699E-09,0.037257344025,-2.1273250776E-07
250.1264556,-4.1602607289E-09,0.037255027705,-2.1134217592E-07
250.1268478,-4.5734824925E-09,0.037252718453,-2.1176806334E-07
250.12724,-3.6489419507E-09,0.037250416226,-2.0988095618E-07
250.1276322,-4.0016319465E-09,0.037248120986,-2.1020494707E-07
250.1280244,-3.7788608043E-09,0.03724583271,-2.0955776308E-07
250.1284167,-3.0391261997E-09,0.037243551311,-2.0793543114E-07
250.1288089,-3.5594530226E-09,0.03724127681,-2.0858676179E-07
250.1292011,-2.7139415727E-09,0.037239009136,-2.0681943663E-07
250.1295933,-2.8816989407E-09,0.037236748263,-2.0682081831E-07
250.1299855,-2.5768886862E-09,0.037234494149,-2.0600082511E-07
250.1303777,-2.4127633878E-09,0.037232246759,-2.0544614593E-07
250.1307699,-2.1638175458E-09,0.037230006057,-2.0470770502E-07
250.1311621,-1.7513873064E-09,0.037227772006,-2.0371216467E-07
250.1315543,-2.0925228246E-09,0.037225544571,-2.0402332061E-07
250.1319465,-1.1423847415E-09,0.037223323716,-2.0207177771E-07
250.1323387,-1.7488942369E-09,0.037221109405,-2.028558494E-07
250.1327309,-9.286554422E-10,0.037218901607,-2.0113358278E-07
250.1331231,-7.653563788E-10,0.03721670028,-2.0056236126E-07
250.1335153,-1.0210773214E-09,0.037214505396,-2.0073460025E-07
250.1339075,-2.1788301416E-10,0.037212316918,-1.9903857217E-07
250.1342997,-5.3652725862E-10,0.037210134814,-1.9931386199E-07
250.1346919,2.1549861913E-11,0.03720795906,-1.9807232492E-07
250.1350841,1.668751446E-10,0.037205789584,-1.9751858051E-07
250.1354763,2.654962118E-10,0.0372036264,-1.9705991983E-07
250.1358685,5.250309601E-10,0.037201469454,-1.9633781067E-07
250.1362607,8.3201734719E-10,0.037199318713,-1.9550482703E-07
250.1366529,9.1164654483E-10,0.037197174149,-1.9509066645E-07
250.1370451,1.1660901014E-09,0.037195035728,-1.9437534212E-07
250.1374374,1.3472068616E-09,0.037192903417,-1.9376687448E-07
250.1378296,1.7214043294E-09,0.037190777187,-1.9282524539E-07
250.1382218,1.5638474107E-09,0.037188657005,-1.9284301338E-07
250.138614,2.3512185273E-09,0.037186542841,-1.9116958245E-07
250.1390062,2.0939199107E-09,0.037184434663,-1.9134414613E-07
250.1393984,2.2568065496E-09,0.037182332441,-1.9078729051E-07
250.1397906,3.0174852641E-09,0.037180236146,-1.891739183E-07
250.1401828,2.5083097299E-09,0.037178145744,-1.8978484647E-07
250.140575,3.4649046753E-09,0.03717606121,-1.878429337E-07
250.1409672,3.1773895865E-09,0.037173982525,-1.8808104335E-07
250.1413594,3.3849926658E-09,0.037171909615,-1.8741362784E-07
250.1417516,3.9952400701E-09,0.037169842505,-1.8609004332E-07
250.1421438,3.8139306215E-09,0.037167781139,-1.8612670277E-07
250.142536,4.3162079966E-09,0.037165725492,-1.8496723694E-07
250.1429282,4.2771158087E-09,0.037163675537,-1.847794023E-07
250.1433204,4.8914716257E-09,0.037161631243,-1.8340833537E-07
250.1437126,4.4601938144E-09,0.037159592587,-1.839136643E-07
250.1441048,5.2865524005E-09,0.037157559535,-1.8217630071E-07
250.144497,5.4785693019E-09,0.037155532063,-1.8158095656E-07
250.1448892,5.1497162226E-09,0.037153510143,-1.8187863364E-07
250.1452814,5.9645160329E-09,0.037151493746,-1.8019533258E-07
250.1456736,6.0904864433E-09,0.037149482847,-1.7968712914E-07
250.1460658,5.9306933476E-09,0.03714747742,-1.7971009227E-07
250.1464581,6.679422292E-09,0.037145477433,-1.7812939052E-07
250.1468503,6.498327474E-09,0.037143482866,-1.7817746822E-07
